,iat,lt,tot,pt,name,mean,uf
166,60.0,20.0,30.0,90.0,ParkedPlanes:mean,1.4999975000374999,0.8333333333333334
167,60.0,20.0,30.0,90.0,Runwayutilization:last,0.8333163893689699,0.8333333333333334
168,60.0,25.0,15.0,60.0,AirportResponseTime:mean,100.0,0.6666666666666666
169,60.0,25.0,15.0,60.0,DepartQueueSize:mean,0.5,0.6666666666666666
170,60.0,25.0,15.0,60.0,DepartQueueWaitingTime:mean,0.0,0.6666666666666666
171,60.0,25.0,15.0,60.0,HoldingQueueSize:mean,0.0,0.6666666666666666
172,60.0,25.0,15.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.6666666666666666
173,60.0,25.0,15.0,60.0,ParkedPlanes:mean,0.5000024999875,0.6666666666666666
174,60.0,25.0,15.0,60.0,Runwayutilization:last,0.6666597223379599,0.6666666666666666
175,60.0,25.0,15.0,75.0,AirportResponseTime:mean,115.0,0.6666666666666666
176,60.0,25.0,15.0,75.0,DepartQueueSize:mean,0.0,0.6666666666666666
177,60.0,25.0,15.0,75.0,DepartQueueWaitingTime:mean,0.0,0.6666666666666666
178,60.0,25.0,15.0,75.0,HoldingQueueSize:mean,0.0,0.6666666666666666
179,60.0,25.0,15.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.6666666666666666
180,60.0,25.0,15.0,75.0,ParkedPlanes:mean,1.4999975000125,0.6666666666666666
181,60.0,25.0,15.0,75.0,Runwayutilization:last,0.6666580557206,0.6666666666666666
182,60.0,25.0,15.0,90.0,AirportResponseTime:mean,145.0,0.6666666666666666
183,60.0,25.0,15.0,90.0,DepartQueueSize:mean,0.33333333333333,0.6666666666666666
184,60.0,25.0,15.0,90.0,DepartQueueWaitingTime:mean,10.0,0.6666666666666666
185,60.0,25.0,15.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.6666666666666666
186,60.0,25.0,15.0,90.0,HoldingQueueWaitingTime:mean,4.9999000019999995,0.6666666666666666
187,60.0,25.0,15.0,90.0,ParkedPlanes:mean,1.5,0.6666666666666666
188,60.0,25.0,15.0,90.0,Runwayutilization:last,0.66665722247407,0.6666666666666666
189,60.0,25.0,20.0,60.0,AirportResponseTime:mean,105.0,0.75
190,60.0,25.0,20.0,60.0,DepartQueueSize:mean,0.5,0.75
191,60.0,25.0,20.0,60.0,DepartQueueWaitingTime:mean,0.0,0.75
192,60.0,25.0,20.0,60.0,HoldingQueueSize:mean,0.0,0.75
193,60.0,25.0,20.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.75
194,60.0,25.0,20.0,60.0,ParkedPlanes:mean,0.5000024999875,0.75
195,60.0,25.0,20.0,60.0,Runwayutilization:last,0.74999104182343,0.75
196,60.0,25.0,20.0,75.0,AirportResponseTime:mean,120.0,0.75
197,60.0,25.0,20.0,75.0,DepartQueueSize:mean,0.0,0.75
198,60.0,25.0,20.0,75.0,DepartQueueWaitingTime:mean,0.0,0.75
199,60.0,25.0,20.0,75.0,HoldingQueueSize:mean,0.4999975000125,0.75
200,60.0,25.0,20.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.75
201,60.0,25.0,20.0,75.0,ParkedPlanes:mean,1.4999975000125,0.75
202,60.0,25.0,20.0,75.0,Runwayutilization:last,0.74998916688333,0.75
203,60.0,25.0,20.0,90.0,AirportResponseTime:mean,150.0,0.75
204,60.0,25.0,20.0,90.0,DepartQueueSize:mean,0.33333333333333,0.75
205,60.0,25.0,20.0,90.0,DepartQueueWaitingTime:mean,7.5,0.75
206,60.0,25.0,20.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.75
207,60.0,25.0,20.0,90.0,HoldingQueueWaitingTime:mean,7.4998500029999,0.75
208,60.0,25.0,20.0,90.0,ParkedPlanes:mean,1.5,0.75
209,60.0,25.0,20.0,90.0,Runwayutilization:last,0.7499877086713399,0.75
210,60.0,25.0,25.0,60.0,AirportResponseTime:mean,110.0,0.8333333333333334
211,60.0,25.0,25.0,60.0,DepartQueueSize:mean,0.5,0.8333333333333334
212,60.0,25.0,25.0,60.0,DepartQueueWaitingTime:mean,0.0,0.8333333333333334
213,60.0,25.0,25.0,60.0,HoldingQueueSize:mean,0.0,0.8333333333333334
214,60.0,25.0,25.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.8333333333333334
215,60.0,25.0,25.0,60.0,ParkedPlanes:mean,0.5000024999875,0.8333333333333334
216,60.0,25.0,25.0,60.0,Runwayutilization:last,0.83332222242592,0.8333333333333334
217,60.0,25.0,25.0,75.0,AirportResponseTime:mean,143.9993,0.8333333333333334
218,60.0,25.0,25.0,75.0,DepartQueueSize:mean,0.37498046813963004,0.8333333333333334
219,60.0,25.0,25.0,75.0,DepartQueueWaitingTime:mean,4.9997,0.8333333333333334
220,60.0,25.0,25.0,75.0,HoldingQueueSize:mean,0.44444506172153997,0.8333333333333334
221,60.0,25.0,25.0,75.0,HoldingQueueWaitingTime:mean,13.9994600054,0.8333333333333334
222,60.0,25.0,25.0,75.0,ParkedPlanes:mean,1.1000494997525,0.8333333333333334
223,60.0,25.0,25.0,75.0,Runwayutilization:last,0.83331805591203,0.8333333333333334
224,60.0,25.0,25.0,90.0,AirportResponseTime:mean,155.0,0.8333333333333334
225,60.0,25.0,25.0,90.0,DepartQueueSize:mean,0.33333333333333,0.8333333333333334
226,60.0,25.0,25.0,90.0,DepartQueueWaitingTime:mean,5.0,0.8333333333333334
227,60.0,25.0,25.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.8333333333333334
228,60.0,25.0,25.0,90.0,HoldingQueueWaitingTime:mean,9.999800003999901,0.8333333333333334
229,60.0,25.0,25.0,90.0,ParkedPlanes:mean,1.5,0.8333333333333334
230,60.0,25.0,25.0,90.0,Runwayutilization:last,0.8333180559884099,0.8333333333333334
231,60.0,25.0,30.0,60.0,AirportResponseTime:mean,115.0,0.9166666666666666
232,60.0,25.0,30.0,60.0,DepartQueueSize:mean,0.5,0.9166666666666666
233,60.0,25.0,30.0,60.0,DepartQueueWaitingTime:mean,0.0,0.9166666666666666
234,60.0,25.0,30.0,60.0,HoldingQueueSize:mean,0.0,0.9166666666666666
235,60.0,25.0,30.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.9166666666666666
236,60.0,25.0,30.0,60.0,ParkedPlanes:mean,0.5000024999875,0.9166666666666666
237,60.0,25.0,30.0,60.0,Runwayutilization:last,0.9166532641457701,0.9166666666666666
238,60.0,25.0,30.0,75.0,AirportResponseTime:mean,157.8562,0.9166666666666666
239,60.0,25.0,30.0,75.0,DepartQueueSize:mean,0.46152313565848,0.9166666666666666
240,60.0,25.0,30.0,75.0,DepartQueueWaitingTime:mean,13.57055,0.9166666666666666
241,60.0,25.0,30.0,75.0,HoldingQueueSize:mean,0.36364272714546003,0.9166666666666666
242,60.0,25.0,30.0,75.0,HoldingQueueWaitingTime:mean,14.285507144929,0.9166666666666666
243,60.0,25.0,30.0,75.0,ParkedPlanes:mean,1.2143089284553998,0.9166666666666666
244,60.0,25.0,30.0,75.0,Runwayutilization:last,0.9166479171354001,0.9166666666666666
245,60.0,25.0,30.0,90.0,AirportResponseTime:mean,160.0,0.9166666666666666
246,60.0,25.0,30.0,90.0,DepartQueueSize:mean,0.42857142857143,0.9166666666666666
247,60.0,25.0,30.0,90.0,DepartQueueWaitingTime:mean,2.5,0.9166666666666666
248,60.0,25.0,30.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.9166666666666666
249,60.0,25.0,30.0,90.0,HoldingQueueWaitingTime:mean,12.499750005,0.9166666666666666
250,60.0,25.0,30.0,90.0,ParkedPlanes:mean,1.4999975000374999,0.9166666666666666
251,60.0,25.0,30.0,90.0,Runwayutilization:last,0.91664826442562,0.9166666666666666
252,60.0,30.0,15.0,60.0,AirportResponseTime:mean,105.0,0.75
253,60.0,30.0,15.0,60.0,DepartQueueSize:mean,0.5,0.75
254,60.0,30.0,15.0,60.0,DepartQueueWaitingTime:mean,0.0,0.75
255,60.0,30.0,15.0,60.0,HoldingQueueSize:mean,0.0,0.75
256,60.0,30.0,15.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.75
257,60.0,30.0,15.0,60.0,ParkedPlanes:mean,0.5000024999875,0.75
258,60.0,30.0,15.0,60.0,Runwayutilization:last,0.74999187514219,0.75
259,60.0,30.0,15.0,75.0,AirportResponseTime:mean,120.0,0.75
260,60.0,30.0,15.0,75.0,DepartQueueSize:mean,0.0,0.75
261,60.0,30.0,15.0,75.0,DepartQueueWaitingTime:mean,0.0,0.75
262,60.0,30.0,15.0,75.0,HoldingQueueSize:mean,0.4999975000125,0.75
263,60.0,30.0,15.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.75
264,60.0,30.0,15.0,75.0,ParkedPlanes:mean,1.4999975000125,0.75
265,60.0,30.0,15.0,75.0,Runwayutilization:last,0.7499900002,0.75
266,60.0,30.0,15.0,90.0,AirportResponseTime:mean,150.0,0.75
267,60.0,30.0,15.0,90.0,DepartQueueSize:mean,0.33333333333333,0.75
268,60.0,30.0,15.0,90.0,DepartQueueWaitingTime:mean,7.5,0.75
269,60.0,30.0,15.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.75
270,60.0,30.0,15.0,90.0,HoldingQueueWaitingTime:mean,7.4998500029999,0.75
271,60.0,30.0,15.0,90.0,ParkedPlanes:mean,1.5,0.75
272,60.0,30.0,15.0,90.0,Runwayutilization:last,0.74998937529218,0.75
273,60.0,30.0,20.0,60.0,AirportResponseTime:mean,110.0,0.8333333333333334
274,60.0,30.0,20.0,60.0,DepartQueueSize:mean,0.5,0.8333333333333334
275,60.0,30.0,20.0,60.0,DepartQueueWaitingTime:mean,0.0,0.8333333333333334
276,60.0,30.0,20.0,60.0,HoldingQueueSize:mean,0.0,0.8333333333333334
277,60.0,30.0,20.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.8333333333333334
278,60.0,30.0,20.0,60.0,ParkedPlanes:mean,0.5000024999875,0.8333333333333334
279,60.0,30.0,20.0,60.0,Runwayutilization:last,0.8333230557439799,0.8333333333333334
280,60.0,30.0,20.0,75.0,AirportResponseTime:mean,140.00005,0.8333333333333334
281,60.0,30.0,20.0,75.0,DepartQueueSize:mean,0.37497656162106,0.8333333333333334
282,60.0,30.0,20.0,75.0,DepartQueueWaitingTime:mean,5.0001,0.8333333333333334
283,60.0,30.0,20.0,75.0,HoldingQueueSize:mean,0.44443950622771,0.8333333333333334
