"","x"
"1037",0.206976
"1038",0.131939
"1039",0.113007
"1040",0.0161994
"1041",0.0430945
"1042",0.0227823
"1043",0.0436785
"1044",0.173637
"1045",0.130576
"1046",0.205878
"1047",0.020881
"1048",0.168057
"1049",0.118828
"1050",0.129025
"1051",0.0489389
"1052",0.133408
"1053",0.0436559
"1054",0.225859
"1055",0.109229
"1056",0.0322172
"1057",0.220848
"1058",0.0709532
"1059",0.0142558
"1060",0.140878
"1061",0.0268615
"1062",0.160381
"1063",0.00524967
"1064",0.0857463
"1065",0.0619079
"1066",0.0635316
"1067",0.0259782
"1068",0.0761586
"1069",0.0860709
"1070",0.0343209
"1071",0.0487215
"1072",0.125063
"1073",0.0257932
"1074",0.258809
"1075",0.0163772
"1076",0.0488304
"1077",0.205038
"1078",0.11204
"1079",0.0386965
"1080",0.397404
"1081",0.0662621
"1082",0.123132
"1083",0.138209
"1084",0.0928014
"1085",0.179639
"1086",0.00933916
"1087",0.00951667
"1088",0.106936
"1089",0.227121
"1090",0.00708002
"1091",0.0500751
"1092",0.0542259
"1093",0.0497888
"1094",0.0621488
"1095",0.103763
"1096",0.0374678
"1097",0.0356556
"1098",0.0652717
"1099",0.056077
"1100",0.110274
"1101",0.0653684
"1102",0.0650952
"1103",0.0202115
"1104",0.0551963
"1105",0.0759497
"1106",0.0495908
"1107",0.0220196
"1108",0.051883
"1109",0.221758
"1110",0.0933381
"1111",0.0277644
"1112",0.139785
"1113",0.0280703
"1114",0.236805
"1115",0.335546
"1116",0.0259245
"1117",0.0109994
"1118",0.125814
"1119",0.0259226
"1120",0.00409096
"1121",0.0125112
"1122",0.0590257
"1123",0.0399925
"1124",0.0270733
"1125",0.0475528
"1126",0.0791173
"1127",0.133344
"1128",0.0528591
"1129",0.0329838
"1130",0.0385361
"1131",0.0207281
"1132",0.0339282
"1133",0.0464685
"1134",0.104001
"1135",0.0866768
"1136",0.0391801
"1137",0.0193352
"1138",0.124012
"1139",0.0508863
"1140",0.0110537
"1141",0.418922
"1142",0.263566
"1143",0.230454
"1144",0.0731754
"1145",0.43192
"1146",0.04699
"1147",0.0876913
"1148",0.0295308
"1149",0.474943
"1150",0.0545847
"1151",0.0269811
"1152",0.143719
"1153",0.0827239
"1154",0.0128766
"1155",0.0364381
"1156",0.105227
"1157",0.0592404
"1158",0.0713546
"1159",0.0826903
"1160",0.0607819
"1161",0.045185
"1162",0.260957
"1163",0.076807
"1164",0.0696255
"1165",0.0601866
"1166",0.259216
"1167",0.0030996
"1168",0.124635
"1169",0.0621886
"1170",0.339536
"1171",0.279044
"1172",0.100013
"1173",0.00825212
"1174",0.027274
"1175",0.0350271
"1176",0.216288
"1177",0.255056
"1178",0.118511
"1179",0.074042
"1180",0.0128823
"1181",0.106968
"1182",0.0707057
"1183",0.188161
"1184",0.137387
"1185",0.0443154
"1186",0.0115654
"1187",0.0731062
"1188",0.116035
"1189",0.0173385
"1190",0.0627021
"1191",0.0848655
"1192",0.0620175
"1193",0.0313931
"1194",0.177155
"1195",0.0666382
"1196",0.0929357
"1197",0.0174332
"1198",0.058201
"1199",0.0302274
"1200",0.126173
"1201",0.0181779
"1202",0.0246282
"1203",0.0228529
"1204",0.0788831
"1205",0.299009
"1206",0.105675
"1207",0.455458
"1208",0.048346
"1209",0.207143
"1210",0.0658339
"1211",0.0601908
"1212",0.0511153
"1213",0.0481297
"1214",0.0211618
"1215",0.0402096
"1216",0.133832
"1217",0.0230108
"1218",0.00915656
"1219",0.192917
"1220",0.033369
"1221",0.0434189
"1222",0.146445
"1223",0.0477774
"1224",0.180879
"1225",0.170353
"1226",0.0625212
"1227",0.0561877
"1228",0.0947206
"1229",0.0221496
"1230",0.0815137
"1231",0.0622876
"1232",0.0057427
"1233",0.0326954
"1234",0.10065
"1235",0.150128
"1236",0.129715
"1237",0.0422641
"1238",0.020994
"1239",0.116749
"1240",0.0555763
"1241",0.0692907
"1242",0.0946601
"1243",0.00348265
"1244",0.0399555
"1245",0.110535
"1246",0.0822829
"1247",0.0331249
"1248",0.0451596
"1249",0.119859
"1250",0.0723757
"1251",0.027014
"1252",0.10864
"1253",0.0562477
"1254",0.0144265
"1255",0.403354
"1256",0.2377
"1257",0.0319363
"1258",0.253894
"1259",0.0433968
"1260",0.00191355
"1261",0.218968
"1262",0.0935355
"1263",0.0293439
"1264",0.0111225
"1265",0.247513
"1266",0.0243547
"1267",0.0185003
"1268",0.337722
"1269",0.0757591
"1270",0.0706236
"1271",0.159577
"1272",0.218264
"1273",0.212266
"1274",0.0850937
"1275",0.0873086
"1276",0.024264
"1277",0.0565587
"1278",0.267991
"1279",0.40162
"1280",0.0482187
"1281",0.152431
"1282",0.0140863
"1283",0.121881
"1284",0.206933
"1285",0.185308
"1286",0.0571936
"1287",0.105386
"1288",0.253089
"1289",0.127937
"1290",0.0822031
"1291",0.0754337
"1292",0.0631945
"1293",0.154606
"1294",0.149548
"1295",0.0412469
"1296",0.149166
"1297",0.0225465
"1298",0.0605021
"1299",0.0640896
"1300",0.0156659
"1301",0.0146349
"1302",0.346562
"1303",0.239414
"1304",0.161404
"1305",0.0650404
"1306",0.0942064
"1307",0.0107643
"1308",0.217379
"1309",0.0430176
"1310",0.108057
"1311",0.133852
"1312",0.103761
"1313",0.122804
"1314",0.0374817
"1315",0.205702
"1316",0.0664279
"1317",0.0801492
"1318",0.31631
"1319",0.0781781
"1320",0.0289514
"1321",0.161113
"1322",0.34024
"1323",0.0267603
"1324",0.0376761
"1325",0.00583849
"1326",0.0317196
"1327",0.12633
"1328",0.08321
"1329",0.0450682
"1330",0.0195211
"1331",0.00320246
"1332",0.323598
"1333",0.134618
"1334",0.0698477
"1335",0.094108
"1336",0.0343858
"1337",0.202625
"1338",0.112573
"1339",0.0298183
"1340",0.00866501
"1341",0.107099
"1342",0.0285029
"1343",0.239314
"1344",0.0532303
"1345",0.159757
"1346",0.065617
"1347",0.049369
"1348",0.0160435
"1349",0.0647033
"1350",0.00959209
"1351",0.0276102
"1352",0.00489784
"1353",0.102989
"1354",0.0552114
"1355",0.062709
"1356",0.126542
"1357",0.0209009
"1358",0.0273833
"1359",0.0223877
"1360",0.0932426
"1361",0.14442
"1362",0.0318744
"1363",0.379426
"1364",0.115583
"1365",0.0228003
"1366",0.583299
"1367",0.0891763
"1368",0.103532
"1369",0.0224688
"1370",0.0107087
"1371",0.027954
"1372",0.0616441
"1373",0.0155562
"1374",0.197472
"1375",0.0101212
"1376",0.304463
"1377",0.006458
"1378",0.0213694
"1379",0.143062
"1380",0.00452292
"1381",0.149232
"1382",0.0127131
"1383",0.0134811
"1384",0.195713
"1385",0.135716
"1386",0.0922734
"1387",0.0679345
"1388",0.0444837
"1389",0.0775495
"1390",0.0281004
"1391",0.109912
"1392",0.0200662
"1393",0.050429
"1394",0.538562
"1395",0.0326717
"1396",0.0307981
"1397",0.0646374
"1398",0.0453592
"1399",0.0445921
"1400",0.0076029
"1401",0.00232392
"1402",0.0426657
"1403",0.0853557
"1404",0.478753
"1405",0.0660543
"1406",0.17325
"1407",0.0762113
"1408",0.110048
"1409",0.0261961
"1410",0.0359749
"1411",0.0657546
"1412",0.192882
"1413",0.0305454
"1414",0.0309527
"1415",0.140671
"1416",0.015031
"1417",0.0256684
"1418",0.141138
"1419",0.00432393
"1420",0.229462
"1421",0.0424248
"1422",0.116614
"1423",0.0449543
"1424",0.112914
"1425",0.173359
"1426",0.100946
"1427",0.0423773
"1428",0.0258046
"1429",0.0572707
"1430",0.0101245
"1431",0.0122681
"1432",0.0785524
"1433",0.114811
"1434",0.0885566
"1435",0.166022
"1436",0.0661484
"1437",0.0156259
"1438",0.0171135
"1439",0.0548154
"1440",0.128733
"1441",0.048994
"1442",0.0644497
"1443",0.122383
"1444",0.00878789
"1445",0.0776805
"1446",0.0340713
"1447",0.0368277
"1448",0.0560636
"1449",0.149043
"1450",0.0439719
"1451",0.0758819
"1452",0.053487
"1453",0.162248
"1454",0.0683297
"1455",0.298783
"1456",0.036371
"1457",0.135134
"1458",0.261101
"1459",0.172928
"1460",0.12399
"1461",0.0182415
"1462",0.0489704
"1463",0.0490897
"1464",0.175675
"1465",0.0124024
"1466",0.0867079
"1467",0.0259304
"1468",0.0390622
"1469",0.0259389
"1470",0.00906642
"1471",0.0610957
"1472",0.161928
"1473",0.107183
"1474",0.0365242
"1475",0.138434
"1476",0.0299834
"1477",0.101643
"1478",0.13994
"1479",0.323461
"1480",0.0637287
"1481",0.0356125
"1482",0.0940409
"1483",0.0790412
"1484",0.124284
"1485",0.0693631
"1486",0.0215562
"1487",0.0180675
"1488",0.174898
"1489",0.028603
"1490",0.123867
"1491",0.0779906
"1492",0.338363
"1493",0.0539315
"1494",0.0321247
"1495",0.137278
"1496",0.0546676
"1497",0.132335
"1498",0.0258473
"1499",0.0442287
"1500",0.0517227
"1501",0.0324021
"1502",0.128234
"1503",0.0431812
"1504",0.219573
"1505",0.206988
"1506",0.158089
"1507",0.312381
"1508",0.0593476
"1509",0.144675
