,iat,lt,tot,pt,name,cmean,cEffCount,cvar,upper,lower,error
47,90.0,15.0,15.0,90.0,ParkedPlanes:vector,1.5029138260608754,3327.480383149646,1.2535782172094476,1.5409560640033098,1.464871588118441,0.07608447588486866
48,90.0,15.0,30.0,60.0,AirportResponseTime:vector,149.53836746806857,3428.0139054213305,9259.621336689941,152.75960994325928,146.31712499287786,6.442484950381413
49,90.0,15.0,30.0,60.0,DepartQueueSize:vector,0.6077132913215629,3203.3659130243564,0.7893510002662361,0.6384799191354051,0.5769466635077207,0.06153325562768441
50,90.0,15.0,30.0,60.0,DepartQueueWaitingTime:vector,21.042774455941426,3000.031846966153,1504.6999018046965,22.430840418575762,19.65470849330709,2.776131925268672
51,90.0,15.0,30.0,60.0,HoldingQueueSize:vector,0.6844297421073027,3300.2802725937495,0.944407607338648,0.7175850005592989,0.6512744836553065,0.06631051690399237
52,90.0,15.0,30.0,60.0,HoldingQueueWaitingTime:vector,23.538141879323774,2961.0724472698735,1699.1935351010036,25.02286338075125,22.0534203778963,2.969443002854952
53,90.0,15.0,30.0,60.0,ParkedPlanes:vector,1.2075675338799658,913.8114505383704,0.9792974942970599,1.2717294189241477,1.143405648835784,0.1283237700883637
54,90.0,15.0,30.0,90.0,AirportResponseTime:vector,180.07550675199246,4092.4973478785523,13660.777313877887,183.6564018093418,176.49461169464314,7.161790114698647
55,90.0,15.0,30.0,90.0,DepartQueueSize:vector,0.6135214375584589,3349.180488519744,0.7838081132233456,0.6435050317997271,0.5835378433171907,0.05996718848253635
56,90.0,15.0,30.0,90.0,DepartQueueWaitingTime:vector,21.461242517291137,3052.962473066054,1524.7088573136482,22.84634152973005,20.076143504852222,2.7701980248778284
57,90.0,15.0,30.0,90.0,HoldingQueueSize:vector,0.684738876334394,3366.7801750031863,0.9370981373367232,0.7174377842110888,0.6520399684576992,0.06539781575338965
58,90.0,15.0,30.0,90.0,HoldingQueueWaitingTime:vector,23.65647934042875,3012.696219416266,1705.0253732665185,25.130949008554957,22.18200967230254,2.9489393362524154
59,90.0,15.0,30.0,90.0,ParkedPlanes:vector,1.5370880141893704,3426.5884516356537,1.3146026999544045,1.575477684067532,1.4986983443112087,0.07677933975632323
60,90.0,30.0,15.0,60.0,AirportResponseTime:vector,157.2957631429695,3001.9352738420125,10997.480166200843,161.04716874602607,153.5443575399129,7.502811206113165
61,90.0,30.0,15.0,60.0,DepartQueueSize:vector,0.7589812917593535,2827.9352564439378,1.117119807270078,0.7979362942036567,0.7200262893150502,0.07791000488860655
62,90.0,30.0,15.0,60.0,DepartQueueWaitingTime:vector,26.766709546455758,2638.5130724993687,2138.022234394366,28.531018241984444,25.00240085092707,3.5286173910573737
63,90.0,30.0,15.0,60.0,HoldingQueueSize:vector,0.7139941003480085,2902.38739986468,1.0353903727311913,0.7510129110634883,0.6769752896325286,0.07403762143095971
64,90.0,30.0,15.0,60.0,HoldingQueueWaitingTime:vector,25.582238513742087,2641.8827380727007,2057.9801157871875,27.312102309950266,23.85237471753391,3.459727592416357
65,90.0,30.0,15.0,60.0,ParkedPlanes:vector,1.1488455554349337,747.3119811461171,0.8886262322153615,1.2164315459782442,1.0812595648916232,0.13517198108662098
66,90.0,30.0,15.0,90.0,AirportResponseTime:vector,186.9217819339458,3661.404671173447,15139.215256990428,190.90721855786168,182.9363453100299,7.970873247831776
