time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
896,0.0900759
897,0.0904629
898,0.0912371
899,0.11892
900,0.0989958
901,0.115101
902,0.0832889
903,0.0818422
904,0.0676423
905,0.0925785
906,0.0950228
907,0.104406
908,0.101156
909,0.0873418
910,0.0743281
911,0.0699395
912,0.0920178
913,0.0984646
914,0.118588
915,0.108095
916,0.146109
917,0.127273
918,0.106646
919,0.11194
920,0.109478
921,0.104923
922,0.102911
923,0.12031
924,0.120625
925,0.112557
926,0.107143
927,0.0958124
928,0.0948356
929,0.0998518
930,0.0873066
931,0.0911502
932,0.0952958
933,0.0996128
934,0.104167
935,0.108328
936,0.11873
937,0.126481
938,0.125476
939,0.129982
940,0.12297
941,0.115734
942,0.10309
943,0.101961
944,0.0962251
945,0.0951923
946,0.105668
947,0.0816311
948,0.0718457
949,0.0666806
950,0.0580104
951,0.0964505
952,0.0855988
953,0.0786753
954,0.0711862
955,0.0644609
956,0.0669634
957,0.0993167
958,0.11481
959,0.115222
960,0.130627
961,0.117669
962,0.123142
963,0.10647
964,0.101871
965,0.0998031
966,0.088668
967,0.095688
968,0.106976
969,0.112283
970,0.0898255
971,0.0764124
972,0.0775572
973,0.0862345
974,0.0705853
975,0.070227
976,0.0811561
977,0.070886
978,0.064616
979,0.0779585
980,0.0734833
981,0.0844791
982,0.0903465
983,0.0974942
984,0.0802616
985,0.0980327
986,0.0854373
987,0.108012
988,0.0917722
989,0.0784289
990,0.0835009
991,0.0747984
992,0.110779
993,0.0954563
994,0.123639
995,0.116777
996,0.129095
997,0.125281
998,0.137954
999,0.147688
1000,0.151637
1001,0.18439
1002,0.189521
1003,0.161907
1004,0.167708
1005,0.158786
1006,0.139907
1007,0.158275
1008,0.140859
1009,0.13197
1010,0.161007
1011,0.150085
1012,0.146439
1013,0.146696
1014,0.114142
1015,0.124138
1016,0.125153
1017,0.133112
1018,0.114295
1019,0.128908
1020,0.102076
1021,0.0936435
1022,0.100722
1023,0.107352
1024,0.0950932
1025,0.104266
1026,0.111756
1027,0.098053
1028,0.0908193
1029,0.0830886
1030,0.0667583
1031,0.0843504
1032,0.0764676
1033,0.0986055
1034,0.110865
1035,0.0938031
1036,0.102692
1037,0.0949809
1038,0.114556
1039,0.116213
1040,0.105829
1041,0.103916
1042,0.113697
1043,0.109986
1044,0.117582
1045,0.0881457
1046,0.108317
1047,0.100821
1048,0.125047
1049,0.120349
1050,0.114529
1051,0.140981
1052,0.139087
1053,0.129141
1054,0.13142
1055,0.09986
1056,0.133445
1057,0.111782
1058,0.129138
1059,0.117002
1060,0.137246
1061,0.120831
1062,0.120373
1063,0.126997
1064,0.123313
1065,0.0996181
1066,0.109355
1067,0.0950014
1068,0.0966376
1069,0.0992477
1070,0.097676
1071,0.100268
1072,0.093532
1073,0.0867327
1074,0.0686318
1075,0.0794187
1076,0.0890995
1077,0.104593
1078,0.109122
1079,0.126449
1080,0.125876
1081,0.142993
1082,0.134692
1083,0.10178
1084,0.0998391
1085,0.0924686
1086,0.0945359
1087,0.0930878
1088,0.11234
1089,0.113661
1090,0.10294
1091,0.087528
1092,0.0919267
1093,0.105455
1094,0.141349
1095,0.155313
1096,0.151493
1097,0.134112
1098,0.134049
1099,0.133696
1100,0.138253
1101,0.116925
1102,0.112128
1103,0.145011
1104,0.120617
1105,0.0948485
1106,0.0901876
1107,0.104743
1108,0.100778
1109,0.11867
1110,0.116823
1111,0.106987
1112,0.100144
1113,0.114601
1114,0.126074
1115,0.13314
1116,0.146807
1117,0.132887
1118,0.111899
1119,0.105362
1120,0.0874301
1121,0.0956562
1122,0.0950486
1123,0.0968932
1124,0.0747305
1125,0.0756544
1126,0.0794911
1127,0.07942
1128,0.0806924
1129,0.078997
1130,0.0886186
1131,0.08065
1132,0.0716275
1133,0.0805269
1134,0.0897942
1135,0.0833153
1136,0.0802994
1137,0.0992557
1138,0.0931608
1139,0.101099
1140,0.0864673
1141,0.0931828
1142,0.0815681
1143,0.108752
1144,0.110877
1145,0.0915835
1146,0.0678998
1147,0.0779301
1148,0.0708666
1149,0.0845657
1150,0.0766413
1151,0.102522
1152,0.0893323
1153,0.0840419
1154,0.0857165
1155,0.103861
1156,0.0911437
1157,0.0752848
1158,0.0727609
1159,0.087313
1160,0.0742797
1161,0.0766447
1162,0.0985685
1163,0.090959
1164,0.0874999
1165,0.0804166
1166,0.0786466
1167,0.0748619
1168,0.0745922
1169,0.0562493
1170,0.0726653
1171,0.0734265
1172,0.0742171
1173,0.0665903
1174,0.0887033
1175,0.0831093
1176,0.109567
1177,0.151026
1178,0.147504
1179,0.129663
1180,0.118592
1181,0.131339
1182,0.127268
1183,0.136251
1184,0.147264
1185,0.127059
1186,0.13026
1187,0.116828
1188,0.11926
1189,0.123763
1190,0.136811
1191,0.150314
1192,0.132306
1193,0.12626
1194,0.124647
1195,0.114695
1196,0.114523
1197,0.125278
1198,0.141598
1199,0.13449
1200,0.139197
1201,0.115252
1202,0.104124
1203,0.130468
1204,0.121226
1205,0.129721
1206,0.142578
1207,0.129471
1208,0.124157
1209,0.115775
1210,0.128109
1211,0.142471
1212,0.127808
1213,0.121613
1214,0.142575
1215,0.142011
1216,0.138805
1217,0.152335
1218,0.13969
1219,0.127358
1220,0.116758
1221,0.106275
1222,0.106231
1223,0.0957202
1224,0.105476
1225,0.0863461
1226,0.0997424
1227,0.0986875
1228,0.0983431
1229,0.0904998
1230,0.116348
1231,0.123784
1232,0.108799
1233,0.10587
1234,0.108674
1235,0.117415
1236,0.107003
1237,0.102064
1238,0.101212
1239,0.0843769
1240,0.100255
1241,0.1045
1242,0.165246
1243,0.182343
1244,0.163034
1245,0.176261
1246,0.160625
1247,0.148125
1248,0.144248
1249,0.150838
1250,0.130322
1251,0.127124
1252,0.150543
1253,0.136425
1254,0.128127
1255,0.131319
1256,0.128134
1257,0.129984
1258,0.154092
1259,0.12729
1260,0.121313
1261,0.11541
1262,0.113995
1263,0.142389
1264,0.158067
1265,0.17344
