time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector))
1795,0.0737258
1796,0.0523086
1797,0.0673087
1798,0.0552631
1799,0.0732295
1800,0.0765673
1801,0.0937364
1802,0.0928121
1803,0.0865514
1804,0.0767042
1805,0.0860307
1806,0.0766517
1807,0.102956
1808,0.121293
1809,0.123474
1810,0.0872014
1811,0.0854261
1812,0.0936037
1813,0.0884078
1814,0.0878841
1815,0.102973
1816,0.101588
1817,0.112018
1818,0.103908
1819,0.100315
1820,0.0875923
1821,0.0846853
1822,0.108837
1823,0.105191
1824,0.126365
1825,0.151058
1826,0.151517
1827,0.148956
1828,0.146077
1829,0.125903
1830,0.123687
1831,0.127264
1832,0.110909
1833,0.100839
1834,0.100652
1835,0.0928059
1836,0.128032
1837,0.111851
1838,0.136334
1839,0.130618
1840,0.108215
1841,0.103393
1842,0.104776
1843,0.101446
1844,0.122011
1845,0.122072
1846,0.123901
1847,0.105111
1848,0.117097
1849,0.114294
1850,0.108773
1851,0.0925361
1852,0.081875
1853,0.0919162
1854,0.0998161
1855,0.0970633
1856,0.101469
1857,0.076759
1858,0.0752277
1859,0.0682826
1860,0.0967972
1861,0.121924
1862,0.114169
1863,0.115906
1864,0.0970555
1865,0.106765
1866,0.101667
1867,0.0813273
1868,0.0621582
1869,0.07058
1870,0.0636446
1871,0.079676
1872,0.110576
1873,0.0941521
1874,0.1051
1875,0.0893521
1876,0.0886109
1877,0.073575
1878,0.0639652
1879,0.04467
1880,0.0558364
1881,0.0633508
1882,0.0721648
1883,0.0889716
1884,0.0923932
1885,0.0991294
1886,0.0966685
1887,0.102643
1888,0.0766058
1889,0.118176
1890,0.130141
1891,0.116358
1892,0.126005
1893,0.124169
1894,0.112866
1895,0.108364
1896,0.111943
1897,0.129498
1898,0.138236
1899,0.119567
1900,0.113465
1901,0.090449
1902,0.0821446
1903,0.144583
1904,0.144376
1905,0.139426
1906,0.135724
1907,0.118617
1908,0.0973471
1909,0.108984
1910,0.110985
1911,0.109711
1912,0.0965356
1913,0.115267
1914,0.110041
1915,0.099351
1916,0.0990214
1917,0.101277
1918,0.1061
1919,0.0939365
1920,0.109491
1921,0.111729
1922,0.109602
1923,0.111684
1924,0.109898
1925,0.126434
1926,0.155214
1927,0.189231
1928,0.182549
1929,0.176351
1930,0.184749
1931,0.186378
1932,0.191805
1933,0.175432
1934,0.181377
1935,0.174521
1936,0.208059
1937,0.192751
1938,0.199813
1939,0.206309
1940,0.216172
1941,0.212351
1942,0.196787
1943,0.178951
1944,0.177108
1945,0.161952
1946,0.156797
1947,0.139485
1948,0.176409
1949,0.149754
1950,0.148214
1951,0.14946
1952,0.147516
1953,0.141784
1954,0.138281
1955,0.14564
1956,0.1414
1957,0.112968
1958,0.0970489
1959,0.0921972
1960,0.0930214
1961,0.12549
1962,0.107849
1963,0.105665
1964,0.0994052
1965,0.0946809
1966,0.106073
1967,0.114882
1968,0.133476
1969,0.122217
1970,0.11141
1971,0.126907
1972,0.135921
1973,0.1444
1974,0.120649
1975,0.119144
1976,0.134149
1977,0.121532
1978,0.157221
1979,0.16058
1980,0.184862
1981,0.176592
1982,0.190148
1983,0.163269
1984,0.143547
1985,0.132048
1986,0.126283
1987,0.12842
1988,0.114203
1989,0.0933186
1990,0.088668
1991,0.0853504
1992,0.0719571
1993,0.0790936
1994,0.0671571
1995,0.0827818
1996,0.0667182
1997,0.0761231
1998,0.0783979
1999,0.109471
2000,0.0842067
2001,0.0850972
2002,0.122664
2003,0.13485
2004,0.151725
2005,0.119111
2006,0.132584
2007,0.150302
2008,0.126657
2009,0.134607
2010,0.116606
2011,0.149016
2012,0.139086
2013,0.143727
2014,0.159878
2015,0.145121
2016,0.151809
2017,0.138922
2018,0.133949
2019,0.134278
2020,0.134886
2021,0.139709
2022,0.133748
2023,0.118745
2024,0.12344
2025,0.140584
2026,0.181319
2027,0.172079
2028,0.161226
2029,0.147725
2030,0.166084
2031,0.170788
2032,0.155346
2033,0.162607
2034,0.154133
2035,0.135523
2036,0.134876
2037,0.135059
2038,0.154051
2039,0.166581
2040,0.151664
2041,0.167812
2042,0.155899
2043,0.137649
2044,0.141336
2045,0.127879
2046,0.108652
2047,0.126898
2048,0.153598
2049,0.13555
2050,0.12863
2051,0.143389
2052,0.143467
2053,0.158165
2054,0.17017
2055,0.174646
2056,0.144597
2057,0.139519
2058,0.167027
2059,0.156593
2060,0.14537
2061,0.143061
2062,0.132705
2063,0.137129
2064,0.130616
2065,0.124609
2066,0.118709
2067,0.119749
2068,0.131825
2069,0.131888
2070,0.124442
2071,0.134695
2072,0.139694
2073,0.139977
2074,0.137085
2075,0.149814
2076,0.166202
2077,0.171186
2078,0.153495
2079,0.149395
2080,0.173969
2081,0.165605
2082,0.161985
2083,0.147153
2084,0.131791
2085,0.148332
2086,0.152414
2087,0.136854
2088,0.124177
2089,0.114279
2090,0.12615
2091,0.137093
2092,0.13356
2093,0.130762
2094,0.124862
2095,0.116705
2096,0.136386
2097,0.111749
2098,0.0968847
2099,0.0866609
2100,0.0861119
2101,0.0900838
2102,0.0985506
2103,0.0907465
2104,0.0881258
2105,0.0745064
2106,0.10284
2107,0.0829431
2108,0.0791953
2109,0.0751673
2110,0.0761726
2111,0.0673305
2112,0.0687703
2113,0.0602872
2114,0.0783783
2115,0.0864552
2116,0.0700944
2117,0.111873
2118,0.12524
2119,0.109706
2120,0.0959309
2121,0.0910898
2122,0.0815153
2123,0.0853434
2124,0.0969519
2125,0.0804943
2126,0.0827312
2127,0.0751023
2128,0.0797666
2129,0.0981713
2130,0.0975221
2131,0.0881118
2132,0.0832459
2133,0.0826522
2134,0.0813054
2135,0.0736761
2136,0.0845545
2137,0.0961286
2138,0.0817562
2139,0.0687754
2140,0.0855617
2141,0.102376
2142,0.113961
2143,0.103745
2144,0.115016
2145,0.152651
2146,0.145408
2147,0.143944
2148,0.156995
2149,0.151841
2150,0.151821
2151,0.137995
2152,0.139841
2153,0.129097
2154,0.113858
2155,0.136959
2156,0.13193
2157,0.113548
2158,0.107473
2159,0.0970405
2160,0.101282
2161,0.0954504
2162,0.083058
2163,0.0845672
2164,0.0694539
2165,0.0866652
2166,0.0704299
2167,0.077959
2168,0.0696621
2169,0.0976192
2170,0.0824153
2171,0.0929289
2172,0.0910523
2173,0.0845122
2174,0.0786427
2175,0.0871486
2176,0.0935806
2177,0.099337
2178,0.103967
2179,0.106564
2180,0.0945594
2181,0.0951043
2182,0.100826
2183,0.0720525
2184,0.0649566
2185,0.0724255
2186,0.0716692
2187,0.0661358
2188,0.0811803
2189,0.0771036
2190,0.0831304
2191,0.0604112
2192,0.069776
2193,0.0731654
2194,0.0753915
2195,0.0909267
2196,0.0852948
2197,0.0975701
2198,0.108638
2199,0.100771
2200,0.111743
2201,0.114099
2202,0.133307
2203,0.137302
2204,0.13147
2205,0.127559
2206,0.141219
2207,0.121989
2208,0.111456
2209,0.113706
2210,0.104857
2211,0.107817
2212,0.106766
2213,0.109354
2214,0.109983
2215,0.115192
2216,0.12623
2217,0.156945
2218,0.173348
2219,0.156128
2220,0.160995
2221,0.153475
2222,0.15756
2223,0.150364
2224,0.146104
2225,0.14005
2226,0.125425
2227,0.135859
2228,0.136706
2229,0.133719
2230,0.120663
2231,0.126309
2232,0.110879
2233,0.106679
2234,0.0914207
2235,0.116711
2236,0.10379
2237,0.10317
2238,0.0916424
2239,0.101861
2240,0.116828
2241,0.0965099
2242,0.1104
2243,0.127221
2244,0.106919
2245,0.114843
2246,0.121704
2247,0.117562
2248,0.113453
2249,0.109195
2250,0.116862
2251,0.111882
2252,0.106394
2253,0.0904442
2254,0.0933098
2255,0.0820714
2256,0.0971434
2257,0.105203
2258,0.0964105
2259,0.11036
2260,0.0966409
2261,0.104739
2262,0.0899272
2263,0.103271
2264,0.108251
2265,0.142889
2266,0.157582
2267,0.146531
2268,0.148365
2269,0.148088
2270,0.147146
2271,0.144082
2272,0.134948
2273,0.153679
2274,0.161084
2275,0.151713
2276,0.144287
2277,0.152507
2278,0.175008
2279,0.160913
2280,0.1583
2281,0.123768
2282,0.114095
2283,0.100627
2284,0.100461
2285,0.0927681
2286,0.0875033
2287,0.0872731
2288,0.112246
2289,0.116266
2290,0.112234
2291,0.114756
2292,0.114132
2293,0.118921
2294,0.110931
2295,0.0986172
2296,0.103956
2297,0.0931187
2298,0.0970512
2299,0.100889
2300,0.114211
2301,0.100203
2302,0.111611
2303,0.119592
2304,0.108363
2305,0.103311
2306,0.109409
2307,0.132242
2308,0.105337
2309,0.0920851
2310,0.0700714
2311,0.0709846
2312,0.0960179
2313,0.108129
2314,0.143344
2315,0.139992
2316,0.125226
2317,0.1265
2318,0.156537
2319,0.143704
2320,0.135049
2321,0.125493
2322,0.108581
2323,0.115449
2324,0.144451
2325,0.138054
2326,0.11763
2327,0.110275
2328,0.10178
2329,0.119733
2330,0.13137
2331,0.12858
2332,0.116965
2333,0.107428
2334,0.104204
2335,0.12
2336,0.148527
2337,0.142473
2338,0.124943
2339,0.148056
2340,0.15074
2341,0.133747
2342,0.136705
2343,0.126239
2344,0.130579
2345,0.12425
2346,0.101513
2347,0.111176
2348,0.111647
2349,0.103305
2350,0.104587
2351,0.0876215
2352,0.0792351
2353,0.0863562
2354,0.0918888
2355,0.0760053
2356,0.0537619
2357,0.0701863
2358,0.072473
2359,0.0834338
2360,0.0915397
2361,0.0825347
2362,0.0794871
2363,0.0976905
2364,0.0866256
2365,0.0886379
2366,0.071124
2367,0.0804907
2368,0.0649842
2369,0.0642218
2370,0.0852897
2371,0.125265
2372,0.0801588
2373,0.0951509
2374,0.0952369
2375,0.0974159
2376,0.0869501
2377,0.0989803
2378,0.0992448
2379,0.112119
2380,0.107112
2381,0.100441
2382,0.111411
2383,0.100547
2384,0.118457
2385,0.112931
2386,0.112155
2387,0.11151
2388,0.13414
2389,0.12521
2390,0.137536
2391,0.14297
2392,0.148779
2393,0.131299
2394,0.128752
2395,0.118584
2396,0.132205
2397,0.137915
2398,0.143331
2399,0.158134
2400,0.13867
2401,0.11926
2402,0.116901
2403,0.127295
2404,0.134166
2405,0.130138
2406,0.124363
2407,0.124499
2408,0.128834
2409,0.125271
2410,0.107222
2411,0.0955481
2412,0.0956468
2413,0.103237
2414,0.106386
2415,0.128126
2416,0.111385
2417,0.0969771
2418,0.0982867
2419,0.0878023
2420,0.0962547
2421,0.0973913
2422,0.103437
2423,0.0887991
2424,0.0951495
2425,0.0981833
2426,0.0965001
2427,0.112523
2428,0.0993275
2429,0.103621
2430,0.108185
2431,0.0891833
2432,0.0936294
2433,0.127939
2434,0.128938
2435,0.133814
2436,0.132463
2437,0.141673
2438,0.128396
2439,0.151999
2440,0.137917
2441,0.125617
2442,0.118106
2443,0.115189
2444,0.122468
2445,0.153775
2446,0.162817
2447,0.143765
2448,0.134739
2449,0.151743
2450,0.146675
2451,0.147455
2452,0.132005
2453,0.1256
2454,0.121271
2455,0.106516
2456,0.0763304
2457,0.0696316
2458,0.0813334
2459,0.0444784
2460,0.038981
2461,0.0531938
2462,0.0545728
2463,0.0799032
2464,0.101462
2465,0.0991649
2466,0.107585
2467,0.119269
2468,0.132708
2469,0.102148
2470,0.118072
2471,0.122164
2472,0.102666
2473,0.10486
2474,0.106847
2475,0.115449
2476,0.102849
2477,0.0817109
2478,0.0819313
2479,0.146668
2480,0.168534
2481,0.149853
2482,0.150934
2483,0.167363
2484,0.145303
2485,0.159853
2486,0.147285
2487,0.159059
2488,0.139257
2489,0.140952
2490,0.142676
2491,0.169343
2492,0.161307
2493,0.157947
2494,0.155728
2495,0.165721
2496,0.178296
2497,0.16859
2498,0.17889
2499,0.192938
2500,0.168211
2501,0.144558
2502,0.140957
2503,0.139939
2504,0.12735
2505,0.129663
2506,0.135137
2507,0.143115
2508,0.127236
2509,0.151684
2510,0.153996
2511,0.153072
2512,0.17278
2513,0.166011
2514,0.152775
2515,0.153694
2516,0.122075
2517,0.139493
2518,0.138065
2519,0.147686
2520,0.134332
2521,0.116871
2522,0.128965
2523,0.139656
2524,0.139828
2525,0.146095
2526,0.157265
2527,0.158876
2528,0.142681
2529,0.122339
2530,0.142529
2531,0.158766
2532,0.13658
2533,0.157702
2534,0.142265
2535,0.142273
2536,0.159096
2537,0.143186
2538,0.13264
2539,0.129453
2540,0.137466
2541,0.114634
2542,0.138109
2543,0.130198
2544,0.117597
2545,0.114565
2546,0.111534
2547,0.120277
2548,0.109598
2549,0.107664
2550,0.108786
2551,0.105339
2552,0.0776011
2553,0.0831557
2554,0.0745826
2555,0.10129
2556,0.0999963
2557,0.10887
2558,0.127271
2559,0.150955
2560,0.133737
2561,0.131593
2562,0.133796
2563,0.145161
2564,0.142571
2565,0.126307
2566,0.120859
2567,0.120458
2568,0.123817
2569,0.141189
2570,0.154558
2571,0.138958
2572,0.143548
2573,0.16514
2574,0.153459
2575,0.148319
2576,0.140949
2577,0.14281
2578,0.13315
2579,0.125946
2580,0.124801
2581,0.13214
2582,0.12461
2583,0.126593
2584,0.143196
2585,0.128653
2586,0.117498
2587,0.132404
2588,0.122885
2589,0.125644
2590,0.1437
2591,0.14263
2592,0.153224
2593,0.157273
2594,0.144283
2595,0.126749
2596,0.118185
2597,0.116907
2598,0.139996
2599,0.134225
2600,0.0991878
2601,0.106883
2602,0.100632
2603,0.112699
2604,0.12264
2605,0.118381
2606,0.10113
2607,0.105164
2608,0.0958444
2609,0.0827204
2610,0.0844876
2611,0.0880872
2612,0.0692865
2613,0.0909725
2614,0.0933855
2615,0.0919442
2616,0.0817481
2617,0.0975181
2618,0.0906085
2619,0.0849248
2620,0.0911887
2621,0.0726424
2622,0.0803766
2623,0.0727945
2624,0.0765142
2625,0.0616014
2626,0.0586209
2627,0.0679038
