time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
55878,0.0986237
55879,0.0882148
55880,0.104486
55881,0.103776
55882,0.116042
55883,0.102521
55884,0.0976432
55885,0.11579
55886,0.11659
55887,0.112961
55888,0.0829784
55889,0.0980826
55890,0.0771555
55891,0.0683147
55892,0.0633728
55893,0.0663959
55894,0.0961468
55895,0.125242
55896,0.135411
55897,0.12575
55898,0.123854
55899,0.135266
55900,0.124543
55901,0.144289
55902,0.139009
55903,0.150868
55904,0.144462
55905,0.13667
55906,0.130236
55907,0.119642
55908,0.136071
55909,0.131008
55910,0.13484
55911,0.129873
55912,0.123267
55913,0.115278
55914,0.107422
55915,0.140079
55916,0.122217
55917,0.123506
55918,0.125214
55919,0.104448
55920,0.132187
55921,0.135496
55922,0.134516
55923,0.127072
55924,0.12899
55925,0.144714
55926,0.138432
55927,0.124592
55928,0.123071
55929,0.131161
55930,0.132709
55931,0.140667
55932,0.143222
55933,0.143149
55934,0.154838
55935,0.14381
55936,0.127116
55937,0.119933
55938,0.114458
55939,0.124774
55940,0.115909
55941,0.129361
55942,0.135402
55943,0.131193
55944,0.121037
55945,0.101809
55946,0.119475
55947,0.121849
55948,0.123834
55949,0.126961
55950,0.119694
55951,0.0845147
55952,0.0797002
55953,0.090027
55954,0.079264
55955,0.0832431
55956,0.0815837
55957,0.0657269
55958,0.0589372
55959,0.0650315
55960,0.0585013
55961,0.0512215
55962,0.0530055
55963,0.0495006
55964,0.064943
55965,0.0730788
55966,0.0835849
55967,0.0737531
55968,0.0639316
55969,0.0612424
55970,0.0790975
55971,0.0687414
55972,0.0574587
55973,0.077314
55974,0.0723649
55975,0.0835418
55976,0.0713176
55977,0.0721709
55978,0.0667147
55979,0.0652443
55980,0.0550938
55981,0.0587969
55982,0.0510379
55983,0.0821174
55984,0.0907635
55985,0.091135
55986,0.126571
55987,0.119472
55988,0.101415
55989,0.13108
55990,0.123882
55991,0.125022
55992,0.0884044
55993,0.105758
55994,0.110999
55995,0.126081
55996,0.106766
55997,0.103218
55998,0.109615
55999,0.109764
56000,0.115027
56001,0.11334
56002,0.118629
56003,0.0977672
56004,0.0877061
56005,0.0934195
56006,0.073934
56007,0.0714899
56008,0.0823635
56009,0.0782821
56010,0.0988407
56011,0.0996146
56012,0.0780606
56013,0.0770095
56014,0.101891
56015,0.0996382
56016,0.132767
56017,0.155201
56018,0.153828
56019,0.140152
56020,0.135178
56021,0.163061
56022,0.166846
56023,0.17158
56024,0.185237
56025,0.184054
56026,0.189983
56027,0.174337
56028,0.165304
56029,0.159173
56030,0.141328
56031,0.133175
56032,0.130971
56033,0.122578
56034,0.10988
56035,0.0980562
56036,0.106043
56037,0.0898356
56038,0.100667
56039,0.104027
56040,0.113231
56041,0.09755
56042,0.0857025
56043,0.0897883
56044,0.0781954
56045,0.0917285
56046,0.0903483
56047,0.0994865
56048,0.0942447
56049,0.0802181
56050,0.0737494
56051,0.061512
56052,0.108038
56053,0.105337
56054,0.107566
56055,0.119492
56056,0.121377
56057,0.121282
56058,0.108222
56059,0.105056
56060,0.0864048
56061,0.100006
56062,0.0855398
56063,0.111037
56064,0.111472
56065,0.10572
56066,0.111063
56067,0.0865423
56068,0.0703059
56069,0.0744437
56070,0.0734542
56071,0.0948182
56072,0.11129
56073,0.0861437
56074,0.0761116
56075,0.0998205
56076,0.0892053
56077,0.0798632
56078,0.0716859
56079,0.0849542
56080,0.0651224
56081,0.0546028
56082,0.0707934
56083,0.0679886
56084,0.0904299
56085,0.0936957
56086,0.108243
56087,0.117089
56088,0.102299
56089,0.0922275
56090,0.0998776
56091,0.108442
56092,0.116477
56093,0.157384
56094,0.135194
56095,0.1232
56096,0.127231
56097,0.139124
56098,0.15146
56099,0.168137
56100,0.172876
56101,0.150069
56102,0.158525
56103,0.148155
56104,0.146031
56105,0.126243
56106,0.113696
56107,0.132256
56108,0.128762
56109,0.117156
56110,0.11078
56111,0.108834
56112,0.0941266
56113,0.110789
56114,0.122205
56115,0.120156
56116,0.112535
56117,0.108707
56118,0.107791
56119,0.0996373
56120,0.101201
56121,0.10146
56122,0.0920631
56123,0.0862049
56124,0.0809684
56125,0.092276
56126,0.092188
56127,0.0984396
56128,0.0858568
56129,0.0718124
56130,0.0715848
56131,0.0835149
56132,0.0769019
56133,0.135885
56134,0.153788
56135,0.150279
56136,0.140762
56137,0.144
56138,0.137863
56139,0.171198
56140,0.173513
56141,0.179318
56142,0.183019
56143,0.168727
56144,0.167914
56145,0.177119
56146,0.180309
56147,0.161552
56148,0.161994
56149,0.152614
56150,0.135832
56151,0.138018
56152,0.120059
56153,0.125176
56154,0.155819
56155,0.169264
56156,0.174097
56157,0.146845
56158,0.127589
56159,0.119352
56160,0.134095
56161,0.121794
56162,0.122705
56163,0.12178
56164,0.118796
56165,0.137705
56166,0.141802
56167,0.176464
56168,0.146373
56169,0.140287
56170,0.130065
56171,0.135259
56172,0.0973185
56173,0.0934867
56174,0.101718
56175,0.0899558
56176,0.0804818
56177,0.0872867
56178,0.0778859
56179,0.104554
56180,0.107213
56181,0.0945754
56182,0.100381
56183,0.0955771
56184,0.102714
56185,0.109799
56186,0.110987
56187,0.109433
56188,0.0906821
56189,0.114864
56190,0.105525
56191,0.0992232
56192,0.124354
56193,0.126336
56194,0.12793
56195,0.105816
56196,0.116255
56197,0.110643
56198,0.144376
56199,0.111974
56200,0.0973774
56201,0.107792
56202,0.10171
56203,0.096187
56204,0.0609963
56205,0.0944144
56206,0.0838628
56207,0.107744
56208,0.0942523
56209,0.0874711
56210,0.0874252
56211,0.0670608
56212,0.0629605
56213,0.0687996
56214,0.088576
56215,0.108622
56216,0.0811031
56217,0.0627241
56218,0.0717713
56219,0.0745499
56220,0.082686
56221,0.0809808
56222,0.0871306
56223,0.0995687
56224,0.0955736
56225,0.132789
56226,0.133907
56227,0.133232
56228,0.139638
56229,0.119649
56230,0.12751
56231,0.136478
56232,0.144203
56233,0.126928
56234,0.151415
56235,0.131259
56236,0.15281
56237,0.162405
56238,0.163273
56239,0.154268
56240,0.184565
56241,0.184822
56242,0.183493
56243,0.175743
56244,0.170289
56245,0.161925
56246,0.153368
56247,0.131245
56248,0.127682
56249,0.110188
56250,0.130742
56251,0.125389
56252,0.120774
56253,0.12727
56254,0.139399
56255,0.136037
56256,0.131839
56257,0.145214
56258,0.167351
56259,0.163251
56260,0.161316
56261,0.14118
56262,0.122171
56263,0.105621
56264,0.100708
56265,0.10982
56266,0.0979758
56267,0.0852237
56268,0.131434
56269,0.142712
56270,0.140355
56271,0.135044
56272,0.157341
56273,0.166777
56274,0.168996
56275,0.16069
56276,0.146706
56277,0.144296
56278,0.142795
56279,0.167532
56280,0.152976
56281,0.138298
56282,0.129798
56283,0.146986
56284,0.133969
56285,0.130454
56286,0.117209
56287,0.0886498
56288,0.0895783
56289,0.0916139
56290,0.0909459
56291,0.102325
56292,0.124342
56293,0.112512
56294,0.11119
56295,0.112696
56296,0.0986566
56297,0.0857324
56298,0.081665
56299,0.0885372
56300,0.0899124
56301,0.109226
56302,0.122788
56303,0.1032
56304,0.126901
56305,0.123238
56306,0.150097
56307,0.138885
56308,0.143011
56309,0.13217
56310,0.133549
56311,0.136995
56312,0.138536
56313,0.147123
56314,0.163783
56315,0.166394
56316,0.164003
56317,0.167687
56318,0.193357
56319,0.184183
56320,0.184562
56321,0.182172
56322,0.168562
56323,0.178783
56324,0.173006
56325,0.165069
56326,0.153604
56327,0.133506
56328,0.11973
56329,0.113479
56330,0.0984758
56331,0.0871929
56332,0.105007
56333,0.107773
56334,0.0879927
56335,0.11502
56336,0.154137
56337,0.171616
56338,0.156417
56339,0.174253
56340,0.201935
56341,0.196503
56342,0.178159
56343,0.163394
56344,0.173381
56345,0.16317
56346,0.150449
56347,0.135509
56348,0.136892
